orderkey,partkey,suppkey,linenumber,quantity,extendedprice,sale,returnflag,linestatus,shipdate,commitdate,receiptdate,shipinstruct,shipmode,comment
113,132,9,7,50,79128.65,0.1,A,O,6/12/1995,8/3/1998,5/11/1993,TAKE BACK RETURN,FOB,line comment 3597
855,33,4,1,47,61468.69,0.01,A,O,2/11/1993,11/17/1996,3/1/1996,COLLECT COD,AIR,line comment 3598
636,117,1,2,20,31449.3,0.01,A,F,7/9/1998,6/15/1997,6/22/1998,DELIVER IN PERSON,RAIL,line comment 3599
1293,81,10,3,46,46665.93,0.02,R,O,12/5/1998,11/15/1995,4/8/1995,TAKE BACK RETURN,SHIP,line comment 3600
290,162,7,4,47,90210.01,0.05,R,O,9/7/1997,12/26/1995,2/14/1993,TAKE BACK RETURN,MAIL,line comment 3601
293,26,6,5,36,70065.05,0,R,F,10/8/1995,1/13/1998,9/11/1993,DELIVER IN PERSON,REG AIR,line comment 3602
228,2,5,6,40,8872.64,0.1,R,O,3/19/1998,7/4/1993,5/6/1998,DELIVER IN PERSON,FOB,line comment 3603
162,63,2,7,39,58160.94,0,A,F,12/8/1994,5/13/1993,7/6/1996,DELIVER IN PERSON,MAIL,line comment 3604
605,24,8,1,20,40937.27,0.01,A,F,9/2/1995,12/27/1993,2/17/1996,TAKE BACK RETURN,AIR,line comment 3605
507,53,6,2,23,38796.49,0.06,R,O,1/21/1995,8/27/1997,5/20/1996,DELIVER IN PERSON,SHIP,line comment 3606
783,52,4,3,42,43629.52,0.04,A,F,3/16/1995,6/14/1996,9/16/1998,TAKE BACK RETURN,SHIP,line comment 3607
667,46,6,4,2,6571.21,0.05,A,O,5/6/1995,9/21/1993,12/25/1993,TAKE BACK RETURN,SHIP,line comment 3608
1334,112,10,5,15,42272.17,0.1,R,F,5/29/1997,6/12/1998,9/9/1998,DELIVER IN PERSON,AIR,line comment 3609
562,71,9,6,14,28446.4,0.05,R,F,9/6/1994,9/23/1993,7/19/1996,COLLECT COD,SHIP,line comment 3610
156,134,5,7,2,60285.55,0.05,N,F,12/9/1996,5/5/1995,9/21/1994,NONE,REG AIR,line comment 3611
934,22,1,1,47,42939.14,0.01,N,F,8/17/1994,3/1/1994,12/10/1994,TAKE BACK RETURN,AIR,line comment 3612
967,183,1,2,50,30061.67,0.04,A,O,12/23/1995,10/11/1994,3/12/1993,NONE,RAIL,line comment 3613
1161,174,3,3,39,10791.5,0.08,A,O,9/7/1995,5/21/1997,6/5/1994,NONE,FOB,line comment 3614
246,29,10,4,15,14852.64,0.08,N,F,6/29/1998,3/19/1994,7/28/1994,COLLECT COD,RAIL,line comment 3615
1050,55,10,5,2,45392.69,0.04,N,F,4/7/1994,1/31/1997,4/20/1994,TAKE BACK RETURN,TRUCK,line comment 3616
1397,184,10,6,37,10189.7,0.1,R,O,5/17/1994,7/6/1998,12/16/1993,DELIVER IN PERSON,TRUCK,line comment 3617
1441,84,10,7,10,64676.35,0.02,N,O,7/25/1995,5/9/1995,1/20/1997,COLLECT COD,RAIL,line comment 3618
1474,36,5,1,24,26625.01,0.08,R,O,3/1/1998,1/22/1996,4/25/1993,NONE,RAIL,line comment 3619
1128,43,9,2,18,83450.52,0.1,A,O,10/24/1997,11/14/1993,6/11/1994,NONE,SHIP,line comment 3620
769,34,10,3,25,57856.98,0.01,R,O,3/9/1995,5/19/1995,11/13/1998,TAKE BACK RETURN,AIR,line comment 3621
1468,42,4,4,42,30537.78,0.1,N,O,8/3/1994,10/31/1995,10/13/1994,TAKE BACK RETURN,MAIL,line comment 3622
161,41,6,5,29,103383.32,0.04,R,O,9/30/1998,4/17/1996,11/3/1996,COLLECT COD,FOB,line comment 3623
1252,2,5,6,50,51378.83,0.05,R,F,11/23/1996,3/5/1996,1/5/1994,TAKE BACK RETURN,TRUCK,line comment 3624
705,118,10,7,20,23253.05,0.05,R,O,1/15/1993,5/3/1997,8/10/1996,COLLECT COD,AIR,line comment 3625
613,69,9,1,23,23471.26,0.04,N,F,1/4/1996,3/13/1997,5/2/1994,NONE,SHIP,line comment 3626
541,127,3,2,1,79300.9,0.1,A,O,7/27/1996,8/12/1996,1/20/1998,DELIVER IN PERSON,TRUCK,line comment 3627
355,48,1,3,28,19413.36,0,R,O,10/23/1997,1/12/1998,12/22/1997,DELIVER IN PERSON,SHIP,line comment 3628
1061,65,10,4,40,90995.71,0.1,N,F,2/29/1996,4/25/1994,11/28/1996,COLLECT COD,FOB,line comment 3629
871,141,3,5,49,72158.91,0.04,A,O,8/14/1996,7/12/1993,9/15/1998,COLLECT COD,RAIL,line comment 3630
1054,47,3,6,47,50212.58,0,N,O,8/17/1998,12/30/1996,12/26/1994,DELIVER IN PERSON,RAIL,line comment 3631
1301,89,5,7,42,74088.88,0.05,R,O,3/12/1995,5/17/1995,7/23/1993,COLLECT COD,TRUCK,line comment 3632
178,6,1,1,50,61357.73,0,A,O,7/14/1996,11/25/1994,5/17/1998,COLLECT COD,AIR,line comment 3633
434,44,7,2,24,88044.46,0.04,N,O,10/24/1995,12/31/1994,12/1/1994,NONE,RAIL,line comment 3634
26,60,8,3,36,1362.03,0.1,A,O,5/12/1993,7/3/1998,3/10/1994,NONE,RAIL,line comment 3635
28,130,9,4,25,57304.85,0.02,A,F,4/11/1997,10/25/1994,7/24/1993,NONE,RAIL,line comment 3636
854,99,1,5,23,9667.6,0.02,N,F,9/21/1998,4/1/1996,2/24/1996,DELIVER IN PERSON,RAIL,line comment 3637
481,104,5,6,50,46894.2,0.06,A,F,9/13/1993,10/14/1995,4/15/1998,COLLECT COD,REG AIR,line comment 3638
648,155,10,7,23,64752.17,0,R,F,8/21/1994,11/5/1998,4/15/1995,NONE,AIR,line comment 3639
1288,126,2,1,15,73594.43,0.1,R,F,10/13/1997,1/25/1995,10/23/1996,NONE,AIR,line comment 3640
106,12,8,2,32,9403.09,0.05,N,O,7/28/1998,7/12/1993,8/10/1995,NONE,MAIL,line comment 3641
235,161,8,3,15,42687.81,0.04,N,O,9/1/1994,12/25/1995,2/15/1993,NONE,AIR,line comment 3642
862,64,2,4,41,9916.66,0.06,A,F,11/13/1997,6/26/1995,3/25/1998,DELIVER IN PERSON,TRUCK,line comment 3643
231,179,9,5,8,7590.41,0.05,A,F,4/20/1994,11/18/1995,4/15/1994,COLLECT COD,REG AIR,line comment 3644
421,60,7,6,46,41105.97,0.06,A,F,5/4/1998,9/29/1997,6/5/1996,DELIVER IN PERSON,SHIP,line comment 3645
2,180,2,7,15,10076.45,0.1,A,O,4/6/1993,4/25/1994,3/17/1994,DELIVER IN PERSON,TRUCK,line comment 3646
482,41,7,1,16,58671.72,0.02,R,F,1/17/1996,7/11/1996,11/25/1993,DELIVER IN PERSON,REG AIR,line comment 3647
922,154,2,2,38,51584.69,0.06,R,F,9/24/1993,9/4/1995,6/30/1997,DELIVER IN PERSON,REG AIR,line comment 3648
59,73,10,3,14,28964.2,0.05,R,O,4/20/1995,11/19/1998,7/11/1993,DELIVER IN PERSON,RAIL,line comment 3649
1235,138,4,4,1,44226.33,0.06,N,O,1/18/1994,12/18/1993,6/17/1997,TAKE BACK RETURN,FOB,line comment 3650
1434,61,1,5,49,18426.69,0.08,R,F,3/12/1993,1/12/1993,10/11/1996,DELIVER IN PERSON,REG AIR,line comment 3651
917,29,1,6,28,29835.18,0.01,A,O,3/19/1997,12/14/1997,3/20/1997,NONE,RAIL,line comment 3652
53,139,7,7,2,84608.67,0.06,R,O,10/27/1994,8/6/1998,3/30/1996,NONE,SHIP,line comment 3653
175,135,6,1,45,38084.41,0.04,A,F,2/10/1995,4/27/1997,9/22/1996,NONE,FOB,line comment 3654
303,197,7,2,16,27512.12,0.1,A,O,3/11/1994,1/30/1993,4/5/1998,TAKE BACK RETURN,REG AIR,line comment 3655
1226,119,1,3,41,70782.48,0.02,A,O,11/28/1993,4/4/1993,7/3/1998,DELIVER IN PERSON,TRUCK,line comment 3656
687,136,9,4,48,44998.61,0.04,N,O,9/1/1996,4/22/1994,11/9/1994,TAKE BACK RETURN,TRUCK,line comment 3657
922,129,5,5,27,11149.01,0.06,R,O,5/1/1993,12/15/1995,5/13/1997,TAKE BACK RETURN,TRUCK,line comment 3658
1349,36,6,6,45,83772.39,0,A,F,11/7/1995,8/12/1997,7/16/1996,TAKE BACK RETURN,RAIL,line comment 3659
903,146,6,7,12,36132.27,0.05,N,F,5/19/1996,9/19/1993,11/8/1995,DELIVER IN PERSON,AIR,line comment 3660
686,78,5,1,5,103530.79,0.05,R,F,3/29/1993,11/28/1994,3/13/1997,COLLECT COD,AIR,line comment 3661
445,150,1,2,8,44705.45,0.04,R,F,2/14/1998,5/18/1997,7/6/1997,TAKE BACK RETURN,SHIP,line comment 3662
29,62,2,3,45,16688.86,0.05,R,F,1/15/1995,7/16/1998,2/7/1993,TAKE BACK RETURN,SHIP,line comment 3663
120,122,8,4,36,7736.18,0.02,A,O,2/19/1997,11/20/1997,7/6/1995,NONE,RAIL,line comment 3664
211,146,3,5,44,83872.61,0.08,N,F,7/19/1993,5/6/1994,9/10/1997,TAKE BACK RETURN,MAIL,line comment 3665
860,1,2,6,14,90023.47,0.04,R,F,1/9/1995,12/12/1994,9/3/1997,NONE,SHIP,line comment 3666
202,49,6,7,33,7906.28,0.04,A,F,11/16/1997,7/14/1994,1/28/1998,DELIVER IN PERSON,RAIL,line comment 3667
1324,199,3,1,43,103627.8,0.02,A,O,4/9/1995,7/31/1993,11/12/1994,NONE,AIR,line comment 3668
633,5,8,2,44,24077.86,0.05,N,F,4/14/1998,6/21/1995,8/11/1995,DELIVER IN PERSON,AIR,line comment 3669
664,107,3,3,5,36289.67,0.05,A,F,6/20/1995,10/22/1996,3/3/1995,DELIVER IN PERSON,AIR,line comment 3670
590,145,3,4,33,27811.49,0.04,N,F,4/1/1997,9/7/1994,8/27/1997,NONE,SHIP,line comment 3671
398,167,10,5,34,49472.22,0.01,N,O,4/22/1997,4/30/1995,6/28/1994,COLLECT COD,RAIL,line comment 3672
196,132,3,6,28,79786.37,0,N,F,1/13/1993,10/9/1996,6/28/1998,NONE,AIR,line comment 3673
366,27,9,7,44,10015.89,0.02,A,O,2/16/1994,3/10/1995,4/4/1996,DELIVER IN PERSON,AIR,line comment 3674
546,179,6,1,42,9010.98,0.01,A,F,5/30/1996,4/24/1998,11/25/1997,TAKE BACK RETURN,FOB,line comment 3675
842,116,2,2,49,74915.57,0.02,N,F,4/6/1995,5/19/1994,7/13/1994,DELIVER IN PERSON,MAIL,line comment 3676
1295,114,6,3,20,102366.79,0.1,R,F,5/16/1994,12/9/1994,5/3/1995,DELIVER IN PERSON,RAIL,line comment 3677
922,24,7,4,9,20140.46,0.02,R,F,8/5/1995,7/23/1995,6/9/1995,COLLECT COD,REG AIR,line comment 3678
1284,191,3,5,45,37899.61,0.01,N,O,1/24/1998,10/9/1993,7/21/1996,COLLECT COD,FOB,line comment 3679
1486,15,7,6,11,46882.9,0,R,F,5/20/1995,11/18/1995,5/30/1994,DELIVER IN PERSON,REG AIR,line comment 3680
1421,63,2,7,46,73568.66,0.01,N,O,8/5/1998,6/14/1993,4/15/1994,DELIVER IN PERSON,REG AIR,line comment 3681
381,166,1,1,50,28203.76,0,R,F,9/20/1996,5/5/1997,9/7/1997,TAKE BACK RETURN,REG AIR,line comment 3682
432,121,3,2,23,10154.85,0.04,N,F,1/7/1997,12/9/1998,8/1/1995,COLLECT COD,REG AIR,line comment 3683
630,69,9,3,39,1749.09,0.06,A,O,1/13/1995,7/8/1998,8/4/1997,TAKE BACK RETURN,SHIP,line comment 3684
437,147,6,4,30,50127.86,0.08,A,O,7/1/1996,2/14/1994,11/16/1995,TAKE BACK RETURN,MAIL,line comment 3685
531,117,5,5,49,8487.72,0.05,A,O,8/27/1995,11/9/1993,7/22/1997,DELIVER IN PERSON,REG AIR,line comment 3686
1143,41,3,6,33,28511.2,0.1,N,O,5/9/1994,12/28/1995,1/16/1996,NONE,SHIP,line comment 3687
1076,91,7,7,30,82998.8,0.05,A,F,5/29/1996,5/18/1996,9/7/1996,DELIVER IN PERSON,REG AIR,line comment 3688
1272,191,10,1,17,19329.74,0.06,N,F,7/30/1994,6/27/1994,4/4/1997,DELIVER IN PERSON,TRUCK,line comment 3689
1096,34,8,2,5,23730.39,0.01,R,F,8/18/1995,6/13/1997,4/18/1994,COLLECT COD,MAIL,line comment 3690
1306,38,6,3,47,63442.34,0.06,A,O,2/11/1997,5/2/1995,12/14/1997,COLLECT COD,AIR,line comment 3691
124,159,8,4,1,86647.7,0.1,A,O,6/11/1995,9/15/1995,5/26/1995,NONE,TRUCK,line comment 3692
435,145,2,5,36,42013.9,0,A,O,11/8/1996,2/19/1995,10/10/1994,DELIVER IN PERSON,FOB,line comment 3693
484,160,9,6,47,22830.33,0.06,R,F,12/18/1997,10/23/1996,2/14/1993,NONE,RAIL,line comment 3694
543,107,3,7,26,53906.61,0.06,R,F,12/21/1993,6/8/1997,7/25/1997,COLLECT COD,RAIL,line comment 3695
1466,46,5,1,31,98160.07,0.08,N,O,3/8/1998,6/3/1996,1/8/1996,NONE,TRUCK,line comment 3696
703,53,1,2,23,9565.64,0.05,N,F,1/27/1998,11/30/1995,4/26/1997,COLLECT COD,MAIL,line comment 3697
7,23,3,3,35,28120.49,0.06,A,O,9/28/1996,7/27/1994,10/28/1993,NONE,FOB,line comment 3698
1243,63,1,4,7,22175.5,0.02,A,O,1/5/1997,4/8/1993,9/15/1994,COLLECT COD,MAIL,line comment 3699
874,105,10,5,46,5018.54,0.05,R,O,8/10/1998,7/13/1997,12/13/1998,COLLECT COD,REG AIR,line comment 3700
919,75,1,6,36,17434.02,0.02,A,O,8/2/1997,1/30/1993,5/24/1998,TAKE BACK RETURN,MAIL,line comment 3701
380,94,10,7,21,72778.11,0.05,R,O,8/5/1997,4/18/1994,8/2/1994,DELIVER IN PERSON,MAIL,line comment 3702
332,87,4,1,24,35487.9,0.04,R,O,4/30/1994,11/4/1997,11/25/1995,TAKE BACK RETURN,TRUCK,line comment 3703
1300,85,7,2,38,24067.04,0,R,F,5/2/1998,4/4/1993,5/13/1995,DELIVER IN PERSON,SHIP,line comment 3704
677,194,8,3,33,19159.31,0.01,N,O,12/3/1995,11/22/1996,3/16/1997,NONE,MAIL,line comment 3705
2,40,7,4,11,11390.87,0.06,A,F,7/23/1996,2/13/1997,2/26/1993,NONE,FOB,line comment 3706
305,144,9,5,14,76572.23,0,R,O,10/14/1994,9/6/1994,12/20/1998,TAKE BACK RETURN,TRUCK,line comment 3707
820,162,6,6,33,61092.57,0,A,O,5/8/1993,12/12/1998,11/12/1996,NONE,SHIP,line comment 3708
871,27,5,7,47,21259.27,0.06,N,F,5/16/1995,8/15/1995,12/29/1997,DELIVER IN PERSON,TRUCK,line comment 3709
93,169,6,1,41,17742.19,0.05,N,O,4/30/1993,4/18/1996,1/20/1993,TAKE BACK RETURN,FOB,line comment 3710
171,13,5,2,40,104509.1,0.1,A,F,10/1/1998,2/15/1994,11/26/1996,DELIVER IN PERSON,REG AIR,line comment 3711
1071,73,1,3,23,90828.46,0.02,R,O,1/6/1998,6/12/1996,8/8/1998,DELIVER IN PERSON,SHIP,line comment 3712
159,83,7,4,1,71641.87,0.1,A,O,12/1/1996,7/3/1994,4/15/1994,COLLECT COD,TRUCK,line comment 3713
1136,135,5,5,41,80800.24,0,A,O,6/19/1997,6/16/1996,5/11/1998,TAKE BACK RETURN,REG AIR,line comment 3714
625,27,6,6,16,24806.25,0.05,A,O,2/14/1994,8/16/1998,5/21/1996,COLLECT COD,TRUCK,line comment 3715
888,87,4,7,25,51919.11,0.1,R,F,2/24/1994,7/30/1997,3/17/1997,TAKE BACK RETURN,FOB,line comment 3716
774,76,4,1,22,86982.17,0.04,R,O,2/20/1994,4/11/1994,1/22/1994,TAKE BACK RETURN,AIR,line comment 3717
146,127,2,2,34,39300.06,0.06,R,F,6/26/1996,5/17/1996,7/3/1998,COLLECT COD,SHIP,line comment 3718
665,23,1,3,27,67294.27,0.05,N,O,12/11/1994,4/21/1993,11/10/1994,COLLECT COD,REG AIR,line comment 3719
110,22,2,4,8,82573.73,0.01,A,O,11/10/1993,7/6/1993,12/1/1993,TAKE BACK RETURN,AIR,line comment 3720
1165,112,2,5,20,49534.58,0.01,A,F,4/30/1998,6/15/1994,2/13/1995,DELIVER IN PERSON,MAIL,line comment 3721
538,200,8,6,48,7948.18,0.05,A,O,9/24/1994,9/16/1998,4/13/1993,TAKE BACK RETURN,RAIL,line comment 3722
1500,50,7,7,38,19674.94,0.06,A,F,1/8/1996,11/2/1994,9/13/1996,NONE,MAIL,line comment 3723
791,160,2,1,44,33112.84,0.1,A,F,12/7/1994,4/11/1996,6/21/1997,TAKE BACK RETURN,TRUCK,line comment 3724
1171,118,3,2,39,66020.16,0,N,O,12/15/1994,4/21/1994,11/14/1998,TAKE BACK RETURN,RAIL,line comment 3725
567,90,4,3,33,92402.09,0.04,A,F,5/24/1996,1/14/1997,7/11/1993,COLLECT COD,FOB,line comment 3726
798,180,10,4,42,3018.58,0.04,A,O,8/12/1996,7/21/1994,5/26/1996,NONE,RAIL,line comment 3727
1350,97,9,5,10,47799.04,0.04,A,F,6/25/1994,4/27/1996,3/22/1994,NONE,AIR,line comment 3728
669,21,6,6,30,63274.49,0.05,N,F,2/10/1998,11/14/1994,6/30/1997,DELIVER IN PERSON,AIR,line comment 3729
301,3,1,7,49,45775.8,0.02,N,O,10/21/1998,4/20/1998,2/5/1993,TAKE BACK RETURN,REG AIR,line comment 3730
644,162,6,1,31,76934.35,0.02,N,O,9/25/1997,8/27/1994,9/4/1994,COLLECT COD,MAIL,line comment 3731
420,82,9,2,8,14195.86,0.01,N,O,3/27/1993,9/5/1994,7/22/1995,COLLECT COD,TRUCK,line comment 3732
147,197,7,3,10,24363.48,0.05,N,O,1/3/1996,11/21/1998,11/30/1993,NONE,AIR,line comment 3733
1374,43,4,4,35,61676.39,0.05,A,O,11/15/1994,6/4/1994,12/24/1994,NONE,TRUCK,line comment 3734
167,12,9,5,49,90153.06,0.08,A,O,12/27/1997,9/16/1998,6/27/1997,COLLECT COD,MAIL,line comment 3735
1466,175,3,6,8,25860.27,0.04,N,F,7/26/1996,11/13/1996,1/3/1997,NONE,SHIP,line comment 3736
541,133,10,7,29,14554.13,0.1,A,F,7/30/1993,12/15/1995,11/8/1995,COLLECT COD,MAIL,line comment 3737
448,126,5,1,43,36613.72,0.1,A,F,5/11/1993,8/2/1993,11/20/1998,COLLECT COD,AIR,line comment 3738
107,103,1,2,29,88285.63,0.04,A,O,7/26/1993,1/9/1993,2/6/1998,TAKE BACK RETURN,MAIL,line comment 3739
1040,92,10,3,28,78590.52,0.08,A,F,1/28/1997,6/16/1998,1/19/1994,NONE,TRUCK,line comment 3740
434,128,10,4,15,24445,0.06,N,O,8/17/1998,10/8/1995,12/28/1998,NONE,AIR,line comment 3741
1391,118,7,5,44,6728.74,0.08,N,O,3/31/1996,3/13/1998,11/19/1998,DELIVER IN PERSON,MAIL,line comment 3742
317,72,9,6,48,71293.21,0,N,F,6/30/1997,10/11/1994,10/17/1994,NONE,REG AIR,line comment 3743
922,184,4,7,9,79392.26,0.06,R,O,4/20/1994,8/11/1993,11/20/1993,TAKE BACK RETURN,AIR,line comment 3744
914,83,6,1,47,73039.52,0,R,F,4/6/1994,2/6/1998,2/26/1998,NONE,TRUCK,line comment 3745
1466,78,5,2,16,39229.22,0,R,O,1/31/1998,7/4/1998,5/25/1994,TAKE BACK RETURN,TRUCK,line comment 3746
340,74,10,3,41,52057.65,0,N,O,3/16/1993,1/8/1993,2/9/1993,COLLECT COD,MAIL,line comment 3747
1448,81,1,4,20,13454.56,0.1,N,O,8/4/1996,8/13/1993,7/31/1995,DELIVER IN PERSON,MAIL,line comment 3748
904,189,4,5,49,39312.89,0.04,N,O,10/19/1995,2/21/1997,4/29/1993,NONE,FOB,line comment 3749
1438,94,10,6,33,66133.94,0.01,A,F,8/5/1998,7/25/1995,7/20/1994,COLLECT COD,REG AIR,line comment 3750
1274,152,3,7,38,14756.73,0.1,A,O,6/9/1993,6/11/1997,5/13/1995,DELIVER IN PERSON,REG AIR,line comment 3751
943,144,7,1,3,44554.13,0,N,O,10/23/1997,7/1/1995,9/18/1993,TAKE BACK RETURN,FOB,line comment 3752
983,11,8,2,5,95929.98,0.05,A,F,5/29/1997,7/25/1997,11/17/1995,NONE,AIR,line comment 3753
168,11,2,3,18,61936.23,0.01,R,F,12/8/1996,11/13/1994,12/9/1997,COLLECT COD,SHIP,line comment 3754
1033,192,1,4,22,93282.45,0.04,A,F,2/24/1994,7/10/1994,10/14/1996,NONE,MAIL,line comment 3755
993,177,6,5,15,2616.85,0.02,N,O,1/7/1995,11/9/1996,11/20/1994,TAKE BACK RETURN,AIR,line comment 3756
247,180,5,6,47,101947.91,0.02,N,F,10/10/1993,10/5/1993,5/1/1997,TAKE BACK RETURN,AIR,line comment 3757
749,150,8,7,15,57309.64,0.08,N,F,12/4/1997,12/11/1997,3/25/1998,DELIVER IN PERSON,REG AIR,line comment 3758
722,49,5,1,37,53854.01,0.05,R,F,4/19/1993,12/9/1997,3/19/1996,DELIVER IN PERSON,FOB,line comment 3759
895,161,10,2,25,83348.54,0.04,A,F,12/28/1998,1/20/1994,10/16/1997,NONE,AIR,line comment 3760
1019,123,4,3,26,82957.59,0.02,R,O,1/18/1994,8/26/1996,9/16/1995,DELIVER IN PERSON,FOB,line comment 3761
988,180,8,4,5,9784.95,0,A,O,5/11/1993,4/24/1994,10/25/1998,COLLECT COD,REG AIR,line comment 3762
1391,191,1,5,27,22059.67,0.05,N,O,6/9/1998,2/1/1995,7/25/1996,DELIVER IN PERSON,REG AIR,line comment 3763
330,122,5,6,33,10103.93,0.04,A,F,9/7/1994,2/21/1997,12/22/1995,NONE,REG AIR,line comment 3764
1063,127,10,7,19,80885.71,0.1,N,F,12/23/1997,3/3/1996,11/29/1997,TAKE BACK RETURN,AIR,line comment 3765
1143,100,8,1,5,48305.52,0,A,F,5/25/1997,5/30/1994,1/24/1993,TAKE BACK RETURN,RAIL,line comment 3766
770,22,9,2,14,50051.6,0.02,N,F,1/29/1998,4/17/1995,5/2/1993,TAKE BACK RETURN,FOB,line comment 3767
363,129,2,3,50,52274.57,0,N,O,10/14/1993,10/23/1994,7/21/1997,COLLECT COD,SHIP,line comment 3768
980,20,1,4,46,82870.76,0.01,N,F,11/15/1997,12/3/1994,11/30/1994,NONE,AIR,line comment 3769
859,34,9,5,48,11530.43,0.04,R,F,7/22/1996,7/31/1995,6/19/1998,COLLECT COD,AIR,line comment 3770
344,91,3,6,35,20003.31,0.05,N,O,2/11/1994,12/23/1995,10/3/1995,COLLECT COD,RAIL,line comment 3771
315,75,8,7,37,102895.77,0.02,A,F,4/28/1994,9/12/1997,11/1/1997,TAKE BACK RETURN,FOB,line comment 3772
1223,191,5,1,14,3605.83,0.01,N,O,11/26/1994,5/2/1998,12/5/1996,DELIVER IN PERSON,MAIL,line comment 3773
621,189,2,2,32,44171.31,0.05,A,F,4/6/1994,7/20/1998,2/13/1994,NONE,AIR,line comment 3774
1479,70,10,3,21,8005,0.02,A,F,9/15/1998,12/5/1996,10/20/1995,NONE,RAIL,line comment 3775
1400,89,10,4,37,28199.91,0.06,N,F,4/2/1996,8/12/1993,2/11/1994,DELIVER IN PERSON,AIR,line comment 3776
1450,156,10,5,30,38730.31,0.02,R,O,1/29/1998,7/25/1994,10/23/1996,TAKE BACK RETURN,AIR,line comment 3777
358,87,10,6,47,69417.83,0.06,N,O,6/12/1994,10/4/1994,1/27/1995,TAKE BACK RETURN,MAIL,line comment 3778
645,161,1,7,24,28897.59,0.05,N,O,2/7/1997,1/30/1998,7/23/1996,COLLECT COD,SHIP,line comment 3779
487,159,7,1,17,82226.65,0.1,R,F,9/1/1994,11/1/1998,2/23/1995,DELIVER IN PERSON,TRUCK,line comment 3780
821,110,3,2,21,93914.16,0.08,R,F,1/19/1993,5/9/1996,2/23/1993,DELIVER IN PERSON,TRUCK,line comment 3781
1024,100,5,3,14,49464.82,0.02,A,O,4/2/1994,6/10/1995,6/27/1997,DELIVER IN PERSON,SHIP,line comment 3782
52,174,3,4,41,70388.6,0.06,A,O,10/25/1995,1/23/1997,4/16/1997,NONE,RAIL,line comment 3783
146,164,5,5,43,87132.6,0.05,A,O,5/16/1996,6/4/1994,7/7/1995,NONE,REG AIR,line comment 3784
731,17,2,6,26,4432.03,0.02,A,F,8/17/1995,5/14/1996,9/25/1998,TAKE BACK RETURN,MAIL,line comment 3785
803,9,8,7,27,65582.34,0,N,F,11/4/1995,7/27/1995,10/13/1996,DELIVER IN PERSON,TRUCK,line comment 3786
865,17,1,1,24,63978.43,0.01,A,F,10/20/1994,8/30/1996,6/15/1997,COLLECT COD,REG AIR,line comment 3787
213,197,3,2,5,79509.78,0.05,R,F,6/15/1997,7/25/1993,12/1/1998,TAKE BACK RETURN,SHIP,line comment 3788
1210,154,8,3,22,53511.32,0.06,A,O,4/21/1998,10/11/1997,9/14/1997,DELIVER IN PERSON,FOB,line comment 3789
1134,115,5,4,26,35239.66,0.01,A,F,9/10/1998,4/29/1998,3/7/1995,COLLECT COD,RAIL,line comment 3790
945,74,8,5,31,67538.74,0.06,A,F,7/26/1996,4/6/1993,6/14/1997,DELIVER IN PERSON,FOB,line comment 3791
1372,49,5,6,50,67255.34,0.06,A,F,9/10/1998,8/24/1997,3/7/1996,COLLECT COD,MAIL,line comment 3792
1487,83,7,7,30,74362.11,0.05,R,O,10/18/1993,4/21/1998,2/3/1998,DELIVER IN PERSON,RAIL,line comment 3793
822,194,10,1,42,36722.6,0.08,A,O,5/16/1997,8/21/1993,2/14/1997,COLLECT COD,TRUCK,line comment 3794
522,102,4,2,38,16452.86,0,N,F,8/27/1996,2/11/1996,8/3/1997,DELIVER IN PERSON,TRUCK,line comment 3795
330,62,8,3,44,42710.62,0.05,R,F,4/4/1995,5/13/1995,10/12/1998,COLLECT COD,REG AIR,line comment 3796
1333,40,6,4,15,24491.86,0.01,R,F,10/17/1995,11/6/1994,8/17/1998,COLLECT COD,REG AIR,line comment 3797
660,54,5,5,1,98792.84,0.08,R,F,11/16/1997,12/26/1993,5/24/1993,DELIVER IN PERSON,RAIL,line comment 3798
41,53,3,6,10,88744.08,0.01,A,F,6/10/1993,6/24/1997,8/4/1997,DELIVER IN PERSON,TRUCK,line comment 3799
1422,160,10,7,36,2260.86,0.08,N,F,6/17/1996,8/12/1994,7/18/1998,TAKE BACK RETURN,AIR,line comment 3800
332,91,1,1,27,36868.65,0.02,N,O,4/23/1996,6/30/1994,4/22/1994,NONE,MAIL,line comment 3801
986,19,10,2,24,21997.45,0.06,R,F,10/3/1994,6/4/1997,4/22/1994,TAKE BACK RETURN,MAIL,line comment 3802
51,29,1,3,19,15081.76,0.04,R,O,12/14/1998,4/19/1994,12/2/1997,TAKE BACK RETURN,AIR,line comment 3803
607,144,7,4,19,33000.27,0,R,O,6/25/1995,6/20/1998,8/17/1996,DELIVER IN PERSON,TRUCK,line comment 3804
420,57,2,5,36,79878.75,0.04,R,O,6/25/1994,1/23/1996,8/5/1998,TAKE BACK RETURN,MAIL,line comment 3805
1306,57,8,6,7,87992.51,0.05,R,O,5/3/1993,5/6/1996,3/13/1994,TAKE BACK RETURN,SHIP,line comment 3806
1404,148,9,7,36,77150.61,0.08,N,O,12/4/1998,2/3/1998,3/1/1995,COLLECT COD,TRUCK,line comment 3807
1425,160,7,1,34,41804.73,0.02,N,F,4/2/1996,2/9/1997,12/28/1996,DELIVER IN PERSON,RAIL,line comment 3808
265,83,4,2,10,7807.24,0.01,R,F,11/26/1996,8/28/1995,1/31/1993,DELIVER IN PERSON,AIR,line comment 3809
